route_id,service_id,trip_id
8,8,32238
8,2,32232
2,8,23448
44,8,22668
51,2,28992
2,2,23442
43,2,26372
44,2,22662
22,8,39108
8,8,32838
8,8,32528
8,2,32522
22,2,39102
8,2,32832
8,2,32302
8,2,32652
8,8,32658
8,8,32308
48,3,31913
48,2,31912
3,2,23842
48,9,31919
48,8,31918
3,8,23848
8,8,32788
20,2,25662
8,2,32782
20,8,25668
22,13,391713
20,8,25288
20,2,25282
28,2,36202
48,2,32012
22,13,397413
20,8,25448
22,13,392113
28,8,36208
48,8,32018
20,2,25442
57,9,34189
51,8,28998
20,2,25592
43,7,26397
50,13,282013
43,2,26392
20,8,25598
54,2,38432
18,7,39927
54,9,38439
54,8,38438
28,8,36448
28,8,35988
28,8,36338
28,2,36442
28,2,36332
57,9,34009
22,2,39692
22,3,39693
22,8,39698
22,9,39699
22,8,39418
38,2,33072
54,2,38502
50,13,282613
22,9,39419
46,2,36532
15,8,37008
38,8,33078
54,8,38508
46,8,36538
15,2,37002
38,9,33019
28,8,36028
4,2,36842
28,2,36022
4,8,36848
22,9,39109
44,2,40182
38,9,33219
22,3,39263
38,2,33212
38,3,33213
52,2,29362
53,2,38642
52,8,29368
53,8,38648
53,9,38649
22,13,395013
22,2,39742
22,3,39743
22,9,39269
22,8,39748
22,9,39749
15,9,37319
15,8,37318
28,2,36152
15,2,37312
56,2,33672
22,3,39103
48,9,31489
28,8,36158
56,7,33677
50,9,28219
50,13,284313
56,7,33697
56,2,33692
50,3,28563
50,9,28569
15,2,37172
33,9,40289
15,9,37179
15,8,37178
57,8,34208
57,9,34209
51,8,29818
57,2,34202
57,3,34203
51,2,29812
54,9,38569
48,8,31698
2,8,23058
3,8,23508
56,13,336913
22,13,397313
43,13,263513
3,2,23502
48,2,31692
2,2,23052
50,3,28693
22,3,39353
22,2,39352
22,9,39359
22,8,39358
50,9,28699
50,3,28363
56,13,338613
22,3,39593
22,2,39592
50,9,28369
22,9,39599
22,8,39598
51,8,29108
18,11,399711
56,13,339213
18,13,399713
51,2,29102
3,8,23618
3,2,23612
2,8,23128
50,9,28189
50,13,283613
50,3,28183
51,8,28968
28,8,35938
57,2,34152
57,3,34153
50,9,28749
2,8,23298
54,2,38352
57,9,34159
51,2,28962
28,2,35932
50,3,28213
50,3,28743
2,2,23472
2,8,23478
51,2,28982
57,8,34048
44,8,22678
2,2,23272
43,2,26362
50,3,28383
44,2,22672
2,8,23278
51,8,28988
43,7,26367
8,8,32538
22,8,39178
53,2,35332
8,8,32828
28,2,35842
22,3,39173
22,2,39172
8,2,32822
28,8,35848
53,9,35339
53,8,35338
22,13,397713
8,2,32312
20,8,25728
8,8,32318
52,8,29298
20,2,25722
3,2,23872
48,8,31908
48,9,31909
8,2,32792
3,8,23878
8,8,32798
48,2,31902
48,3,31903
20,2,25612
