trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
28473,13:15:00,13:15:00,65,1,0
28473,13:18:00,13:18:00,100,2,0
28473,13:18:30,13:18:30,70,3,0
28473,13:19:10,13:19:10,246,4,0
28473,13:20:00,13:20:00,229,5,0
28473,13:21:00,13:21:00,134,6,0
28473,13:21:30,13:21:30,133,7,0
28473,13:21:50,13:21:50,131,8,0
28473,13:24:00,13:24:00,103,9,0
28473,13:25:00,13:25:00,240,10,0
28473,13:26:00,13:26:00,80,11,0
28473,13:27:00,13:27:00,182,12,0
28473,13:29:00,13:29:00,101,13,0
28473,13:29:30,13:29:30,73,14,0
28473,13:30:00,13:30:00,69,15,0
28473,13:30:30,13:30:30,71,16,0
28473,13:40:00,13:40:00,65,17,0
22612,08:51:00,08:51:00,65,1,0
22612,08:55:00,08:55:00,7,2,0
22612,08:55:30,08:55:30,5,3,0
22612,08:56:00,08:56:00,95,4,0
22612,08:57:00,08:57:00,11,5,0
22612,08:57:30,08:57:30,97,6,0
22612,08:58:00,08:58:00,13,7,0
23068,06:45:00,06:45:00,65,1,0
23068,06:47:00,06:47:00,63,2,0
23068,06:49:00,06:49:00,61,3,0
23068,06:50:00,06:50:00,7,4,0
23068,06:50:30,06:50:30,5,5,0
23068,06:51:00,06:51:00,95,6,0
23068,06:51:30,06:51:30,11,7,0
23068,06:52:00,06:52:00,97,8,0
23068,06:52:30,06:52:30,13,9,0
23068,06:54:00,06:54:00,17,10,0
23068,06:54:30,06:54:30,20,11,0
23068,06:55:00,06:55:00,22,12,0
23068,06:55:30,06:55:30,23,13,0
23068,06:56:00,06:56:00,25,14,0
23068,07:02:00,07:02:00,27,15,0
23068,07:04:00,07:04:00,29,16,0
23068,07:04:30,07:04:30,31,17,0
23068,07:05:00,07:05:00,91,18,0
23068,07:06:00,07:06:00,80,19,0
23068,07:07:00,07:07:00,182,20,0
23068,07:09:30,07:09:30,101,21,0
23068,07:10:00,07:10:00,73,22,0
23068,07:11:00,07:11:00,69,23,0
23068,07:12:00,07:12:00,71,24,0
23068,07:19:00,07:19:00,65,25,0
28028,04:30:00,04:30:00,85,1,0
28028,04:31:00,04:31:00,86,2,0
28028,04:31:30,04:31:30,239,3,0
28028,04:35:00,04:35:00,103,4,0
28028,04:36:00,04:36:00,240,5,0
28028,04:36:30,04:36:30,86,6,0
28028,04:40:00,04:40:00,85,7,0
22648,16:43:00,16:43:00,91,1,0
22648,16:44:00,16:44:00,80,2,0
22648,16:45:00,16:45:00,182,3,0
22648,16:47:30,16:47:30,101,4,0
22648,16:48:00,16:48:00,73,5,0
22648,16:49:00,16:49:00,69,6,0
22648,16:50:00,16:50:00,71,7,0
22648,16:57:00,16:57:00,65,8,0
34962,17:00:00,17:00:00,98,1,0
34962,17:01:00,17:01:00,100,2,0
34962,17:01:30,17:01:30,70,3,0
34962,17:02:10,17:02:10,246,4,0
34962,17:03:00,17:03:00,229,5,0
34962,17:03:30,17:03:30,134,6,0
34962,17:04:00,17:04:00,133,7,0
34962,17:04:20,17:04:20,131,8,0
34962,17:11:00,17:11:00,103,9,0
34962,17:12:00,17:12:00,240,10,0
34962,17:13:20,17:13:20,80,11,0
34962,17:14:00,17:14:00,182,12,0
34962,17:16:00,17:16:00,101,13,0
34962,17:16:40,17:16:40,73,14,0
34962,17:17:20,17:17:20,69,15,0
34962,17:18:20,17:18:20,71,16,0
34962,17:20:00,17:20:00,99,17,0
34962,17:22:00,17:22:00,98,18,0
35043,19:00:00,19:00:00,98,1,0
35043,19:01:00,19:01:00,100,2,0
35043,19:01:30,19:01:30,70,3,0
35043,19:02:10,19:02:10,246,4,0
35043,19:03:00,19:03:00,229,5,0
35043,19:03:30,19:03:30,134,6,0
35043,19:04:00,19:04:00,133,7,0
35043,19:04:20,19:04:20,131,8,0
35043,19:11:00,19:11:00,103,9,0
35043,19:12:00,19:12:00,240,10,0
35043,19:13:20,19:13:20,80,11,0
35043,19:14:00,19:14:00,182,12,0
35043,19:16:00,19:16:00,101,13,0
35043,19:16:40,19:16:40,73,14,0
35043,19:17:20,19:17:20,69,15,0
35043,19:18:20,19:18:20,71,16,0
35043,19:20:00,19:20:00,99,17,0
35043,19:22:00,19:22:00,98,18,0
29332,07:26:00,07:26:00,65,1,0
29332,07:31:00,07:31:00,7,2,0
29332,07:31:30,07:31:30,5,3,0
29332,07:32:00,07:32:00,95,4,0
29332,07:32:30,07:32:30,11,5,0
29332,07:33:00,07:33:00,97,6,0
29332,07:33:30,07:33:30,13,7,0
37578,09:30:00,09:30:00,216,1,0
37578,09:32:40,09:32:40,279,2,0
37578,09:39:00,09:39:00,274,3,0
37578,09:41:00,09:41:00,268,4,0
37578,09:45:00,09:45:00,258,5,0
31592,07:10:00,07:10:00,85,1,0
31592,07:11:00,07:11:00,86,2,0
31592,07:11:30,07:11:30,239,3,0
31592,07:15:00,07:15:00,103,4,0
31592,07:16:00,07:16:00,240,5,0
31592,07:16:30,07:16:30,86,6,0
31592,07:20:00,07:20:00,85,7,0
25412,12:10:00,12:10:00,216,1,0
25412,12:20:00,12:20:00,94,2,0
25412,12:21:00,12:21:00,102,3,0
25412,12:21:40,12:21:40,184,4,0
25412,12:23:00,12:23:00,101,5,0
25412,12:23:40,12:23:40,73,6,0
25412,12:24:10,12:24:10,69,7,0
25412,12:25:00,12:25:00,71,8,0
25412,12:29:40,12:29:40,65,9,1
25412,12:30:00,12:30:00,216,10,0
35602,08:55:00,08:55:00,247,1,0
35602,08:55:30,08:55:30,248,2,0
35602,08:57:00,08:57:00,265,3,0
35602,09:00:00,09:00:00,272,4,0
35602,09:03:00,09:03:00,266,5,0
35602,09:10:00,09:10:00,253,6,0
35602,09:13:00,09:13:00,212,7,0
35602,09:13:30,09:13:30,256,8,0
35602,09:16:30,09:16:30,100,9,0
35602,09:17:30,09:17:30,70,10,0
35602,09:18:00,09:18:00,246,11,0
35602,09:19:00,09:19:00,68,12,0
35602,09:23:00,09:23:00,72,13,0
36258,10:45:00,10:45:00,198,1,0
36258,10:45:30,10:45:30,193,2,0
36258,10:46:00,10:46:00,199,3,0
36258,10:46:30,10:46:30,200,4,0
36258,10:48:00,10:48:00,148,5,0
36258,10:49:00,10:49:00,201,6,0
36258,10:51:00,10:51:00,250,7,0
36258,10:51:20,10:51:20,204,8,0
36258,11:01:40,11:01:40,236,9,0
36258,11:05:00,11:05:00,81,10,0
37032,08:25:00,08:25:00,72,1,0
37032,08:25:30,08:25:30,74,2,0
37032,08:27:00,08:27:00,69,3,0
37032,08:27:30,08:27:30,229,4,0
37032,08:28:00,08:28:00,134,5,0
37032,08:28:30,08:28:30,133,6,0
37032,08:29:00,08:29:00,131,7,0
37032,08:30:00,08:30:00,240,8,0
37032,08:31:30,08:31:30,80,9,0
37032,08:32:00,08:32:00,182,10,0
37032,08:33:00,08:33:00,77,11,0
37032,08:34:00,08:34:00,79,12,0
37032,08:35:00,08:35:00,2,13,0
37032,08:35:30,08:35:30,93,14,0
37032,08:36:00,08:36:00,4,15,0
37032,08:37:00,08:37:00,11,16,0
37032,08:37:30,08:37:30,97,17,0
37032,08:38:00,08:38:00,13,18,0
37032,08:39:30,08:39:30,40,19,0
37032,08:40:00,08:40:00,44,20,0
37032,08:40:30,08:40:30,42,21,0
37032,08:48:00,08:48:00,116,22,0
37032,08:49:00,08:49:00,124,23,0
37032,08:49:30,08:49:30,119,24,0
37032,08:50:30,08:50:30,158,25,0
37032,08:51:00,08:51:00,167,26,0
37032,08:52:00,08:52:00,245,27,0
37032,08:53:00,08:53:00,190,28,0
37032,08:53:30,08:53:30,145,29,0
37032,08:54:15,08:54:15,146,30,0
37032,09:05:00,09:05:00,147,31,0
31483,05:20:00,05:20:00,85,1,0
31483,05:21:00,05:21:00,86,2,0
31483,05:21:30,05:21:30,239,3,0
31483,05:25:00,05:25:00,103,4,0
31483,05:26:00,05:26:00,240,5,0
31483,05:26:30,05:26:30,86,6,0
31483,05:30:00,05:30:00,85,7,0
36108,16:45:00,16:45:00,81,1,0
36108,16:55:00,16:55:00,245,2,0
36108,16:55:30,16:55:30,190,3,0
36108,16:56:00,16:56:00,145,4,0
36108,16:56:40,16:56:40,191,5,0
36108,17:05:00,17:05:00,198,6,0
22678,17:34:00,17:34:00,91,1,0
