route_id,service_id,trip_id,shape_id
53,2,35542,53O
8,8,32238,8O
22,2,35232,22L
22,3,35233,22L
53,8,35548,53O
8,2,32232,8O
22,8,35238,22L
22,9,35239,22L
2,8,23448,2L
18,7,27287,18O
53,2,35782,53I
44,8,22668,44O
51,2,28992,51I
2,2,23442,2L
43,2,26372,43L
53,8,35788,53I
44,2,22662,44O
8,8,32838,8I
8,8,32528,8I
8,2,32522,8I
8,2,32832,8I
8,2,32302,8O
8,2,32652,8I
8,8,32658,8I
8,8,32308,8O
53,9,35639,53I
53,8,35438,53O
53,9,35439,53O
53,2,35432,53O
48,3,31913,48L
48,2,31912,48L
3,2,23842,3L
18,7,27377,18O
48,9,31919,48L
48,8,31918,48L
3,8,23848,3L
33,8,26488,33O
8,8,32788,8I
20,2,25662,20Lexp
8,2,32782,8I
33,2,26482,33O
20,8,25668,20Lexp
20,8,25288,20Lexp
20,2,25282,20Lexp
28,2,36202,28I
48,2,32012,48L
20,8,25448,20L
28,8,36208,28I
48,8,32018,48L
20,2,25442,20L
2,8,23368,2L
51,8,28998,51I
20,2,25592,20Lexp
43,7,26397,43L
22,8,34718,22L
43,2,26392,43L
20,8,25598,20Lexp
53,9,35789,53I
28,8,36448,28I
28,8,36338,28I
28,2,36442,28I
28,2,36332,28I
22,9,35199,22L
57,9,34009, 
54,9,37799,54O
54,8,37798,54O
54,2,37792,54O
38,2,33072,38I
38,3,33073,38I
54,9,37559,54I
54,8,37558,54I
46,2,36532,46L
15,8,37008,15O0655
38,8,33078,38I
38,9,33079,38I
46,8,36538,46L
15,2,37002,15O0655
54,2,37552,54I
28,8,36028,28O
4,2,36842,4L
28,2,36022,28O
4,8,36848,4L
38,8,33218,38O
38,9,33219,38O
38,2,33212,38O
38,3,33213,38O
22,2,34972,22L
22,3,34973,22L
52,2,29362, 
52,8,29368, 
22,8,34978,22L
22,9,34979,22L
15,9,37319,15I0730
15,8,37318,15I0730
28,2,36152,28I
15,2,37312,15I0730
56,2,33672, 
48,9,31489,48L
28,8,36158,28I
56,7,33677, 
18,2,29962,18I
56,7,33697, 
56,2,33692, 
50,3,28563,50L
53,8,35628,53I
50,9,28569,50L
15,2,37172,15O1520
15,9,37179,15O1520
15,8,37178,15O1520
57,8,34208, 
57,9,34209, 
54,2,37952,54I
54,2,37772,54O
54,9,37959,54I
54,8,37958,54I
57,2,34202, 
57,3,34203, 
54,9,37779,54O
51,2,29812,51I
22,9,34999,22L
22,9,35159,22L
22,8,35158,22L
48,8,31698,48L
2,8,23058,2L
3,8,23508,3L
22,3,35153,22L
22,2,35152,22L
3,2,23502,3L
48,2,31692,48L
2,2,23052,2L
50,3,28693,50L
50,9,28699,50L
50,3,28363,50L
50,9,28369,50L
54,8,37648,54I
51,8,29108,51I
51,2,29102,51I
22,8,34798,22L
22,9,34799,22L
22,2,34792,22L
22,3,34793,22L
3,8,23618,3L
22,8,34558,22L
22,9,34559,22L
3,2,23612,3L
22,2,34552,22L
2,8,23128,2L
50,9,28189,50L
50,3,28183,50L
